99,a0127319
99,a0140418
99,a0300450
99,a0301725
99,a0348292
99,a0411651
99,a0500549
99,a0501987
99,a0525137
99,a0547047
99,a0547157
99,a0548657
99,a0548944
99,a0600689
99,a0606549
99,a0626238
99,a0628166
99,a0647160
99,a0648931
99,a0701275
99,a0701571
99,a0703936
99,a0707489
99,a0707935
99,a0708004
99,a0727938
99,a0752758
99,a0803000
99,a0808420
99,a0808547
99,a0821669
99,a0825528
99,a0848375
99,a0867923
99,a0900078
99,a0901130
99,a0902776
99,a0903622
99,a0906419
99,a0907112
99,a0907843
99,a0908037
99,a0908233
99,a0909510
99,a0947209
99,a0947423
99,a0948571
99,a0949607
99,a8302652
99,a8708935
99,a9601577
99,a9826273
99,a9913255
99,person002
99,person005
99,voonly
