username,success_rate,read_rate,written_rate,avg_subject_length,avg_text_length
a0648931,1.0,0.64262990456,0.00850159404888,16,335
a0907843,0.0,0.265111346766,0.0148777895855,12,278
a0947209,0.380952380952,0.687168610817,0.00212539851222,27,217
a0606549,0.0714285714286,0.289501590668,0.00850159404888,7,314
a8708935,0.88,0.990455991516,0.00106269925611,20,534
a0707489,0.9,0.363732767762,0.00956429330499,22,170
a0728417,0.6,0.437963944857,0.0,0,0
a0902776,0.381578947368,0.993637327678,0.0340063761955,19,363
a0701275,0.833333333333,0.971367974549,0.0393198724761,21,307
a0803000,1.0,0.0,0.00106269925611,23,453
a0908233,0.182795698925,0.505832449629,0.0116896918172,5,754
a0848645,0.421052631579,0.137857900318,0.0,0,0
a0628166,0.0,0.0869565217391,0.00212539851222,39,184
a0948108,0.0,0.0,0.0,0,0
a0907112,0.198275862069,0.975609756098,0.0138150903294,10,293
a0708627,0.642857142857,0.0477200424178,0.0,0,0
a0849296,0.0,0.158006362672,0.0,0,0
a0547047,0.4375,0.130434782609,0.00637619553666,7,137
a8302652,0.666666666667,0.445387062566,0.00106269925611,44,154
a0701571,0.666666666667,0.335100742312,0.00743889479277,6,227
a9826273,0.528735632184,0.451749734889,0.00637619553666,10,192
a0806719,0.0,0.212089077413,0.0,0,0
a0703936,0.354430379747,0.220572640509,0.00318809776833,0,455
a7904809,0.638888888889,0.186638388123,0.0,0,0
a0949607,0.278350515464,0.924708377519,0.0637619553666,14,354
a0648613,0.0,0.360551431601,0.0,0,0
a0909811,0.592592592593,0.997879109226,0.0,0,0
a0826379,0.6,0.984093319194,0.0,0,0
a0808420,0.490322580645,0.591728525981,0.00212539851222,29,383
a0821669,0.0,0.518557794274,0.00637619553666,0,417
a0708004,0.0,0.208907741251,0.00531349628055,17,344
a0903622,0.777777777778,0.997879109226,0.0701381509033,15,430
a0947423,0.386363636364,0.507953340403,0.00425079702444,23,220
a0909232,0.789473684211,0.150583244963,0.0,0,0
a0411651,0.166666666667,0.404029692471,0.00212539851222,38,298
a0902337,0.76,0.191940615058,0.0,0,0
a9999970,0.80487804878,0.0,0.0,0,0
a0140418,1.0,0.693531283139,0.00212539851222,26,72
a0547157,0.559322033898,0.283138918346,0.00106269925611,32,155
a9601577,0.75,0.159066808059,0.00637619553666,27,333
a0548657,0.272727272727,0.23117709438,0.00212539851222,26,57
a9913255,0.224181360202,0.311770943796,0.00212539851222,33,411
a0608497,0.0,0.033934252386,0.0,0,0
a0525137,0.863636363636,0.975609756098,0.0148777895855,22,534
a0647160,0.151785714286,0.839872746554,0.132837407014,21,331
a0867923,0.421686746988,0.0,0.00425079702444,39,727
a0207445,0.0925925925926,0.221633085896,0.0,0,0
a0848375,0.5,0.345705196182,0.00106269925611,44,527
a0707935,0.53125,0.607635206787,0.0212539851222,33,588
a0348272,0.208333333333,0.0222693531283,0.0,0,0
a0504661,0.477272727273,0.84835630965,0.0,0,0
a0626238,1.0,0.0466595970308,0.00106269925611,22,513
a0901130,0.358851674641,0.514316012725,0.00531349628055,20,491
a0349293,0.0,0.143160127253,0.0,0,0
a0500549,0.549450549451,0.899257688229,0.0148777895855,15,675
a0900078,0.449275362319,0.755037115589,0.00318809776833,25,228
a0909510,0.185185185185,0.296924708378,0.00212539851222,21,221
a0127319,0.171052631579,0.344644750795,0.0148777895855,23,287
a0906419,0.666666666667,0.657476139979,0.0414452709883,5,415
a0348292,0.041095890411,0.538706256628,0.00425079702444,17,891
a712675,0.0,0.0,0.0,0,0
a710000,0.307692307692,0.0,0.0,0,0
a0800120,0.0,0.0901378579003,0.0,0,0
a0627554,1.0,0.0,0.0,0,0
a0306694,0.205128205128,0.323435843054,0.0,0,0
a0725454,0.363636363636,0.153764581124,0.0,0,0
a0642127,0.75,0.0275715800636,0.0,0,0
a0727938,0.375,0.125132555673,0.00212539851222,41,70
a0808547,0.375,0.997879109226,0.0467587672689,18,341
a0752758,0.533333333333,0.389183457052,0.00318809776833,23,35
